id,calories,proteins,fats,carbs
1,54,2.9,2.5,4.7
2,40,3.0,1.0,4.0
3,121,18.0,5.0,3.3
4,162,2.6,15.0,3.6
5,364,24.1,29.5,0.3
6,748,0.5,82.5,0.8
7,113,23.6,1.9,0.4
8,254,17.2,20.0,0.0
9,185,16.8,13.0,0.2
10,267,16.1,22.8,0.0
11,352,12.3,6.2,61.8
12,350,7.0,1.0,78.0
13,308,12.6,3.3,57.1
14,356,12.0,2.0,71.0
15,342,12.3,1.3,63.4
16,20,1.1,0.2,3.7
17,14,0.8,0.1,2.5
18,77,2.0,0.4,16.3
19,41,1.4,0.0,8.2
20,35,1.3,0.1,6.9
21,27,1.3,0.0,5.3
22,27,1.8,0.1,4.7
23,96,1.5,0.5,21.0
24,47,0.4,0.4,9.8
25,208,6.9,1.3,39.8
26,264,7.5,2.9,51.4
27,157,12.7,10.9,0.7
28,899,0.0,99.9,0.0
29,96,1.6,0.1,22.8
30,624,3.1,67.0,2.6
31,140,20.5,6.5,0.0
32,72,15.9,0.9,0.0
33,96,21.0,1.0,0.0
34,82,4.8,0.2,16.7
35,0,0.0,0.0,0.0
36,399,0.0,0.0,99.8
37,0,0.0,0.0,0.0
38,0,0.0,0.0,0.0
39,45,2.5,0.3,7.5
40,45,0.7,0.3,9.5
41,607,18.6,53.7,13.0
42,551,26.3,45.2,9.9
43,60,4.0,1.5,7.5
44,328,0.8,0.0,80.3
45,251,10.4,3.3,38.7
46,76,18.0,0.1,3.3
47,84,19.2,0.7,0.0
48,314,21.6,1.1,48.0
49,99,7.0,0.5,17.4
50,334,10.3,1.1,68.9
