id,category,name,price
1,Молочные продукты,Молоко Простоквашино 2.5% 930мл,89.99
2,Молочные продукты,Кефир Домик в деревне 1% 930мл,79.99
3,Молочные продукты,Творог Простоквашино 5% 220г,109.99
4,Молочные продукты,Сметана Простоквашино 15% 300г,89.99
5,Молочные продукты,Сыр Российский 50% 300г,329.99
6,Молочные продукты,Масло сливочное Простоквашино 82.5% 180г,179.99
7,Мясо и птица,Филе куриной грудки охл. 800г,349.99
8,Мясо и птица,Фарш говяжий охл. 500г,399.99
9,Мясо и птица,Бедро куриное охл. 1кг,259.99
10,Мясо и птица,Свинина шейка охл. 500г,449.99
11,Крупы и макароны,Овсяные хлопья Геркулес 450г,69.99
12,Крупы и макароны,Рис круглозерный 800г,89.99
13,Крупы и макароны,Гречка ядрица 800г,99.99
14,Крупы и макароны,Макароны Barilla спагетти 450г,119.99
15,Крупы и макароны,Булгур 500г,109.99
16,Овощи,Помидоры 500г,149.99
17,Овощи,Огурцы 500г,119.99
18,Овощи,Картофель 1кг,49.99
19,Овощи,Лук репчатый 1кг,39.99
20,Овощи,Морковь 1кг,44.99
21,Овощи,Перец болгарский 500г,179.99
22,Овощи,Капуста белокочанная 1кг,34.99
23,Фрукты,Бананы 1кг,79.99
24,Фрукты,Яблоки Голден 1кг,129.99
25,Хлеб,Хлеб Бородинский 400г,49.99
26,Хлеб,Батон нарезной 400г,39.99
27,Яйца,Яйца куриные С1 10шт,109.99
28,Масло и соусы,Масло подсолнечное рафинированное 1л,119.99
29,Масло и соусы,Кетчуп Heinz томатный 350г,149.99
30,Масло и соусы,Майонез Провансаль 67% 400г,99.99
31,Рыба,Филе горбуши замор. 500г,349.99
32,Рыба,Филе минтая замор. 700г,289.99
33,Консервы,Тунец в собственном соку 185г,149.99
34,Консервы,Томатная паста 380г,89.99
35,Бакалея,Соль пищевая 1кг,29.99
36,Бакалея,Сахар белый 1кг,69.99
37,Напитки,Чай чёрный Greenfield 100 пак.,249.99
38,Напитки,Кофе молотый Jacobs 230г,399.99
39,Заморозка,Овощная смесь замор. 400г,129.99
40,Заморозка,Ягоды замор. смесь 300г,199.99
41,Орехи,Миндаль жареный 150г,249.99
42,Орехи,Арахис солёный 200г,119.99
43,Молочные продукты,Йогурт Danone натуральный 350г,79.99
44,Бакалея,Мёд цветочный 350г,299.99
45,Специи,Перец чёрный молотый 50г,59.99
46,Молочные продукты,Творог обезжиренный 0.1% 220г,89.99
47,Мясо и птица,Индейка филе грудки охл. 600г,449.99
48,Бобовые,Чечевица красная 450г,129.99
49,Бобовые,Фасоль белая консерв. 400г,79.99
50,Мука,Мука пшеничная в/с 2кг,99.99
